,Name,EngName,Rcode
0,Австралийский доллар,Australian Dollar,R01010    
1,Австрийский шиллинг,Austrian Shilling,R01015    
2,Азербайджанский манат,Azerbaijan Manat,R01020    
3,Фунт стерлингов Соединенного королевства,British Pound Sterling,R01035    
4,Ангольская новая кванза,Angolan new Kwanza,R01040    
5,Армянский драм,Armenia Dram,R01060    
6,Белорусский рубль,Belarussian Ruble,R01090    
7,Бельгийский франк,Belgium Franc,R01095    
8,Болгарский лев,Bulgarian lev,R01100    
9,Бразильский реал,Brazil Real,R01115    
10,Венгерский форинт,Hungarian Forint,R01135    
11,Гонконгский доллар,Hong Kong Dollar,R01200    
12,Греческая драхма,Greek Drachma,R01205    
13,Датская крона,Danish Krone,R01215    
14,Доллар США,US Dollar,R01235    
15,Евро,Euro,R01239    
16,Индийская рупия,Indian Rupee,R01270    
17,Ирландский фунт,Irish Pound,R01305    
18,Исландская крона,Iceland Krona,R01310    
19,Испанская песета,Spanish Peseta,R01315    
20,Итальянская лира,Italian Lira,R01325    
21,Казахстанский тенге,Kazakhstan Tenge,R01335    
22,Канадский доллар,Canadian Dollar,R01350    
23,Киргизский сом,Kyrgyzstan Som,R01370    
24,Китайский юань,China Yuan,R01375    
25,Кувейтский динар,Kuwaiti Dinar,R01390    
26,Латвийский лат,Latvian Lat,R01405    
27,Ливанский фунт,Lebanese Pound,R01420    
28,Литовский лит,Lithuanian Lita,R01435    
29,Литовский талон,Lithuanian talon,R01435    
30,Молдавский лей,Moldova Lei,R01500    
31,Немецкая марка,Deutsche Mark,R01510    
32,Немецкая марка,Deutsche Mark,R01510    
33,Нидерландский гульден,Netherlands Gulden,R01523    
34,Норвежская крона,Norwegian Krone,R01535    
35,Польский злотый,Polish Zloty,R01565    
36,Португальский эскудо,Portuguese Escudo,R01570    
37,Румынский лей,Romanian Leu,R01585    
38,Румынский лей,Romanian Leu,R01585    
39,СДР (специальные права заимствования),SDR,R01589    
40,Сингапурский доллар,Singapore Dollar,R01625    
41,Суринамский доллар,Surinam Dollar,R01665    
42,Таджикский сомони,Tajikistan Ruble,R01670    
43,Таджикский рубл,Tajikistan Ruble,R01670    
44,Турецкая лира,Turkish Lira,R01700    
45,Туркменский манат,Turkmenistan Manat,R01710    
46,Новый туркменский манат,New Turkmenistan Manat,R01710    
47,Узбекский сум,Uzbekistan Sum,R01717    
48,Украинская гривна,Ukrainian Hryvnia,R01720    
49,Украинский карбованец,Ukrainian Hryvnia,R01720    
50,Финляндская марка,Finnish Marka,R01740    
51,Французский франк,French Franc,R01750    
52,Чешская крона,Czech Koruna,R01760    
53,Шведская крона,Swedish Krona,R01770    
54,Швейцарский франк,Swiss Franc,R01775    
55,ЭКЮ,ECU,R01790    
56,Эстонская крона,Estonian Kroon,R01795    
57,Югославский новый динар,Yugoslavian Dinar,R01804    
58,Южноафриканский рэнд,S.African Rand,R01810    
59,Вон Республики Корея,South Korean Won,R01815    
60,Японская иена,Japanese Yen,R01820    
